"ID"	"condition"	"MAP3K3"	"FOXO3"	"UBB"	"AKT3"	"UBE2E1"
"GSM1369799"	"OP"	9.71021998131186	9.47684982325431	11.920387726673	6.49453424207481	9.4602255494651
"GSM1369800"	"OP"	9.06419529613112	8.64987274579198	12.6794689141578	6.92861849918565	9.49412564496122
"GSM1369801"	"OP"	9.13826148415276	8.68979136055371	12.1128562667492	6.23274297862056	9.80300367666074
"GSM1369802"	"OP"	9.0525110053366	9.10937809933536	13.1718407726564	6.84493833678284	9.8218379875969
"GSM1369803"	"OP"	9.45218217537671	9.22222609929634	12.8297579411832	6.10526409124348	9.30152761101247
"GSM1369804"	"OP"	9.30243711071789	9.01722650083305	12.8297579411832	6.03666677870171	9.40918560508566
"GSM1369805"	"OP"	9.3264230536074	9.02577160536821	12.6794689141578	6.96510270165389	9.53068995915211
"GSM1369806"	"OP"	9.73265997301324	8.76854329128753	12.1405056199457	6.87955562612172	9.59706615411094
"GSM1369807"	"OP"	9.06265921841538	8.90734927992187	12.6270559086414	6.71352746506595	9.24862940145375
"GSM1369808"	"OP"	9.00637967489194	8.24352927639044	12.0195213941862	7.09814783636882	10.3207860934614
"GSM1369809"	"OP"	9.33387203398874	8.98649136277377	12.334098585873	6.16712515612943	9.35706224007291
"GSM1369810"	"OP"	9.01877688562403	8.80760354025056	12.6270559086414	6.97202732137475	9.62133959423003
"GSM1369811"	"OP"	9.04100346794388	8.94660362144457	12.795537991194	5.8124077808278	9.3472314854486
"GSM1369812"	"OP"	9.1908266787387	8.88756613757916	12.795537991194	6.82375449800288	9.2413704684209
"GSM1369813"	"OP"	9.31981032975914	8.72173059547656	12.6270559086414	7.07495388336327	9.29222010777087
"GSM1369814"	"OP"	9.32085226158941	9.15651072472973	12.3555715221714	6.65077759153126	9.49515449386667
"GSM1369815"	"OP"	9.55652977347088	8.6157328726239	12.7089118313328	6.62174473138741	9.49515449386667
"GSM1369816"	"OP"	8.92038932691164	9.00863322221328	12.795537991194	6.86953308407483	9.5873387262022
"GSM1369817"	"OP"	9.07806210495008	8.72976804097242	12.7667283782769	6.46872466467045	9.3995985959722
